Idade,Genero,Item_Comprado,Valor_Compra(R$),Forma_Pagamento,Compras_Anteriores,Frequencia_Compras
55,Masculino,Blusa,53.0,Cartao de Credito,14,Quinzenal
19,Masculino,Sueter,64.0,Transferencia Bancaria,2,Quinzenal
50,Masculino,Jeans,73.0,Dinheiro,23,Semanal
21,Masculino,Sandalias,90.0,PayPal,49,Semanal
45,Masculino,Blusa,49.0,Dinheiro,31,Anual
46,Masculino,Tenis,20.0,Venmo,14,Semanal
63,Masculino,Camisa,85.0,Cartao de Debito,49,Trimestral
27,Masculino,Shorts,34.0,Cartao de Debito,19,Semanal
26,Masculino,Casaco,97.0,Venmo,8,Anual
57,Masculino,Bolsa,31.0,PayPal,4,Trimestral
53,Masculino,Sapato,34.0,Cartao de Credito,26,Duas vezes/semana
30,Masculino,Shorts,68.0,PayPal,10,Quinzenal
61,Masculino,Casaco,72.0,PayPal,37,Quinzenal
65,Masculino,Vestido,51.0,Cartao de Debito,31,Semanal
64,Masculino,Casaco,53.0,PayPal,34,Semanal
64,Masculino,Saia,81.0,Cartao de Credito,8,Mensal
25,Masculino,Óculos de Sol,36.0,Venmo,44,Duas vezes/semana
53,Masculino,Vestido,38.0,Cartao de Debito,36,Trimestral
52,Masculino,Sueter,48.0,Transferencia Bancaria,17,Semanal
66,Masculino,Calca,90.0,Venmo,46,Duas vezes/semana
21,Masculino,Calca,51.0,Cartao de Credito,50,A cada 3 meses
31,Masculino,Calca,62.0,Cartao de Credito,22,Trimestral
56,Masculino,Calca,37.0,Dinheiro,32,Anual
31,Masculino,Calca,88.0,Cartao de Credito,40,Semanal
18,Masculino,Jaqueta,22.0,Dinheiro,16,Semanal
18,Masculino,Agasalho,25.0,Transferencia Bancaria,14,Anual
38,Masculino,Joias,20.0,Dinheiro,13,Anual
56,Masculino,Shorts,56.0,Cartao de Debito,7,A cada 3 meses
54,Masculino,Bolsa,94.0,Cartao de Debito,41,A cada 3 meses
31,Masculino,Vestido,48.0,Venmo,14,Semanal
57,Masculino,Joias,31.0,Transferencia Bancaria,16,Mensal
33,Masculino,Vestido,79.0,Venmo,45,Mensal
36,Masculino,Jaqueta,67.0,Transferencia Bancaria,37,Anual
54,Masculino,Calca,38.0,Venmo,45,Trimestral
36,Masculino,Camiseta,91.0,Cartao de Debito,38,Trimestral
54,Masculino,Blusa,33.0,Transferencia Bancaria,48,Duas vezes/semana
35,Masculino,Camiseta,69.0,Dinheiro,44,Quinzenal
35,Masculino,Jeans,45.0,Cartao de Debito,10,Semanal
29,Masculino,Vestido,37.0,Cartao de Debito,44,A cada 3 meses
70,Masculino,Calca,60.0,Transferencia Bancaria,18,Mensal
69,Masculino,Bolsa,76.0,PayPal,31,Trimestral
67,Masculino,Cachecol,39.0,Dinheiro,40,Anual
20,Masculino,Casaco,100.0,Transferencia Bancaria,15,Anual
25,Masculino,Cachecol,69.0,PayPal,19,Quinzenal
39,Masculino,Bone,53.0,Transferencia Bancaria,45,Semanal
50,Masculino,Meias,21.0,Venmo,25,Anual
57,Masculino,Camisa,43.0,Venmo,45,Trimestral
55,Masculino,Joias,54.0,Cartao de Debito,36,Semanal
42,Masculino,Camisa,55.0,Cartao de Debito,38,Mensal
68,Masculino,Agasalho,30.0,Transferencia Bancaria,34,Duas vezes/semana
49,Masculino,Blusa,28.0,Dinheiro,39,Duas vezes/semana
59,Masculino,Saia,59.0,PayPal,7,Trimestral
42,Masculino,Camiseta,20.0,Cartao de Credito,26,Semanal
29,Masculino,Saia,24.0,Cartao de Debito,35,Semanal
47,Masculino,Casaco,94.0,Transferencia Bancaria,35,Duas vezes/semana
40,Masculino,Jaqueta,28.0,Venmo,49,Anual
41,Masculino,Mochila,73.0,PayPal,46,Semanal
21,Masculino,Casaco,64.0,PayPal,17,Quinzenal
69,Masculino,Agasalho,54.0,Cartao de Credito,29,Mensal
63,Masculino,Cinto,79.0,Cartao de Debito,4,Semanal
50,Masculino,Sueter,37.0,Cartao de Credito,17,Semanal
55,Masculino,Cachecol,68.0,Transferencia Bancaria,21,A cada 3 meses
30,Masculino,Tenis,21.0,Cartao de Credito,31,Quinzenal
33,Masculino,Óculos de Sol,79.0,Cartao de Credito,43,Semanal
65,Masculino,Botas,83.0,PayPal,18,Quinzenal
65,Masculino,Mochila,36.0,Cartao de Credito,44,A cada 3 meses
31,Masculino,Blusa,94.0,Transferencia Bancaria,3,A cada 3 meses
45,Masculino,Casaco,33.0,PayPal,49,Mensal
57,Masculino,Bolsa,46.0,Cartao de Credito,21,A cada 3 meses
48,Masculino,Cinto,70.0,Cartao de Credito,5,Semanal
22,Masculino,Cinto,29.0,Cartao de Credito,32,A cada 3 meses
36,Masculino,Vestido,48.0,Cartao de Debito,34,Anual
18,Masculino,Vestido,26.0,Cartao de Debito,21,A cada 3 meses
48,Masculino,Calca,85.0,Cartao de Debito,43,Duas vezes/semana
