Id,Idade,Genero,Item_Comprado,Valor_Compra(R$),Forma_Pagamento,Compras_Anteriores,Frequencia_Compras
1,55,Masculino,Blusa,53.0,Cartao de Credito,14,Quinzenal
2,19,Masculino,Sueter,64.0,Transferencia Bancaria,2,Quinzenal
3,50,Masculino,Jeans,73.0,Dinheiro,23,Semanal
4,21,Masculino,Sandalias,90.0,PayPal,49,Semanal
5,45,Masculino,Blusa,49.0,Dinheiro,31,Anual
6,46,Masculino,Tenis,20.0,Venmo,14,Semanal
7,63,Masculino,Camisa,85.0,Cartao de Debito,49,Trimestral
8,27,Masculino,Shorts,34.0,Cartao de Debito,19,Semanal
9,26,Masculino,Casaco,97.0,Venmo,8,Anual
10,57,Masculino,Bolsa,31.0,PayPal,4,Trimestral
11,53,Masculino,Sapato,34.0,Cartao de Credito,26,Duas vezes/semana
12,30,Masculino,Shorts,68.0,PayPal,10,Quinzenal
13,61,Masculino,Casaco,72.0,PayPal,37,Quinzenal
14,65,Masculino,Vestido,51.0,Cartao de Debito,31,Semanal
15,64,Masculino,Casaco,53.0,PayPal,34,Semanal
16,64,Masculino,Saia,81.0,Cartao de Credito,8,Mensal
17,25,Masculino,Óculos de Sol,36.0,Venmo,44,Duas vezes/semana
18,53,Masculino,Vestido,38.0,Cartao de Debito,36,Trimestral
19,52,Masculino,Sueter,48.0,Transferencia Bancaria,17,Semanal
20,66,Masculino,Calca,90.0,Venmo,46,Duas vezes/semana
21,21,Masculino,Calca,51.0,Cartao de Credito,50,A cada 3 meses
22,31,Masculino,Calca,62.0,Cartao de Credito,22,Trimestral
23,56,Masculino,Calca,37.0,Dinheiro,32,Anual
24,31,Masculino,Calca,88.0,Cartao de Credito,40,Semanal
25,18,Masculino,Jaqueta,22.0,Dinheiro,16,Semanal
26,18,Masculino,Agasalho,25.0,Transferencia Bancaria,14,Anual
27,38,Masculino,Joias,20.0,Dinheiro,13,Anual
28,56,Masculino,Shorts,56.0,Cartao de Debito,7,A cada 3 meses
29,54,Masculino,Bolsa,94.0,Cartao de Debito,41,A cada 3 meses
30,31,Masculino,Vestido,48.0,Venmo,14,Semanal
31,57,Masculino,Joias,31.0,Transferencia Bancaria,16,Mensal
32,33,Masculino,Vestido,79.0,Venmo,45,Mensal
33,36,Masculino,Jaqueta,67.0,Transferencia Bancaria,37,Anual
34,54,Masculino,Calca,38.0,Venmo,45,Trimestral
35,36,Masculino,Camiseta,91.0,Cartao de Debito,38,Trimestral
36,54,Masculino,Blusa,33.0,Transferencia Bancaria,48,Duas vezes/semana
37,35,Masculino,Camiseta,69.0,Dinheiro,44,Quinzenal
38,35,Masculino,Jeans,45.0,Cartao de Debito,10,Semanal
39,29,Masculino,Vestido,37.0,Cartao de Debito,44,A cada 3 meses
40,70,Masculino,Calca,60.0,Transferencia Bancaria,18,Mensal
